id,name
1,باشگاه پرسپولیس
2,باشگاه ملوان انزلی
3,تیم فوتبال اکسین البرز
4,ملوان
5,آ . اس رم ایتالیا
6,آیندهوون هلند
7,سلتیک
8,منچستر
9,سیتی
10,منچسترسیتی
11,ملبورن سیتی
12,سلتیک اسکاتلند
13,اسپورتینگ
14,اسپورتینگ لیسبون
15,اتلتیکو
16,دانشگاه وارویک بریتانیا
17,دانشگاه وارویک
18,تیم ملی فرانسه
19,رایووالکانو
20,اتلتیکو مادرید
21,استقلال
22,اتلتیکو
23,رئال
24,لیورپول
25,سپیدرود
26,سایپا
27,چلسی
28,یونایتد
29,یووه
30,یوونتوس
31,پرسپولیس
32,باشگاه بارسلونا
33,بارسا
34,بوردو
35,بارسلونا
36,تاتنهام
37,نساجی تازه
38,تیم ملی ایران
39,ذوب آهن
40,تیم ملی فوتبال ایران
41,‌ ملی فوتبال ایران
42,استوک
43,گروزنی
44,وست برومویچ و گلاسکو رنجرز
45,استوک سیتی
46,هادرسفیلد تاون
47,سپیدرود رشت
48,تيم فوتبال استقلال
49,تلویزیون پرسپولیس
50,- مهاجم تیم فوتبال استقلال
51,ذوب‌آهن
52,پارس جنوبی
53,عراق تیم ملی امید
54,باشگاه‌های لیگ برتر
55,تراکتور
56,ملی امید
57,امید استقلال تهران
58,تیم ملی امید
59,تیم فوتبال سایپا
60,تیم فوتبال سپیدرود
61,تیم فوتبال سپیدرود رشت
62,استقلال لیگ برتر
63,سپاهان
64,نفت تهران
65,الهلال
66,الریان
67,تیم ملی آرژانتین
68,پیکان
69,آرسنال
70,تیم ملی آلمان
71,ملی کشتی آزاد ایران
72,تیم‌های فوتبال استقلال
73,رئال مادرید
74,هواداران پاری سن ژرمن
75,هواداران پاری سن
76,رئال مادرید
77,استقلال تهران
78,ترکیه تیم فوتبال استقلال
79,باشگاه استقلال
80,تیم ملی بوکس
81,تیم ملی کشورمان
82,برایتون
83,برایتون
84,دورتموند
85,بایرن مونیخ
86,اجرایی دورتموند
87,بایرن
88,صنعت نفت آبادان
