id,name
1,خانه باغ ایرانی
2,سهرورد
3,رئیس
4,کلبه آقامیر
5,سووشون
6,مضیف بردیه
7,بردبار
8,پاسنگان
9,ساتیار
10,باباحصار
11,بوم کلبه ترکمن
12,اوروزای
13,زرآباد الموت
14,عمارت اربابی
15,رسولی الموتی
16,اله آموت
17,قلعه عقاب ها
18,کلبه توریست
19,عموقدرت
20,شهبازان
21,یزدان پناه
22,کاسه ماس
23,اجاق سیدکریم
24,آژند
25,آس دهمورد
26,آسمان آبی
27,بابا حسین کوهستان
28,باغ گلها
29,پسینا
30,جورگ
31,خانه بامداد
32,خانه دایی
33,خانه ابریشم
34,سی راه
35,فرواب پارس
36,قصر یعقوب
37,کندازی
38,کهکران
39,گلستان راز
40,ساسنگ
41,لپویی
42,لپویی
43,ترکمن اوی خالد نبی
44,باغ طوبی
45,کبیر کوه
46,خانه معمار
47,میر نوروز
48,گلچهران
49,اقامتگاه بوم گردی ارگ رادکان
50,اقامتگاه بوم گردی دنیای قدیم
51,اقامتگاه بوم گردی فصیح
52,اقامتگاه بوم گردی قوامیه
53,اقامتگاه غیاثیه
54,اقامتگاه بوم گردی گلستان ادیب
55,اقامتگاه بوم گردی جاده ابریشم
56,کنگ کهن
57,اقامتگاه بوم گردی ماژان
58,ننه کلو بابا کلو
59,نرگس
60,پور یعقوب
61,ریو
62,سبنی
63,زعفرانیه
64,شهید رجایی
65,هزارچشمه هفشجان
66,نخل ونرگس
67,خانه نقلی
68,خانه نخجیر
69,گیله بوم
70,دوسرو
71,رستاق
72,نارنجستان
73,کرد بوم کاشانه
74,درنا ملک سویی
75,آتشونی
76,بارانداز
77,ورکانه
78,آمادای
79,کاهار
80,خانه یونسی
81,طلوع کویر
82,الیما
83,توران گشت
84,عمارت پروین
85,باغ گیلاس
86,کلبه آرامش
87,خالو عیسی
88,آس دهموردی
89,غریب خان
90,خانه علوی خوسف
91,زرین چاه سه قلعه
92,رباط کلمرد
93,چهار فصل
94,سرای جهانگرد
95,بهشت شادکام
96,سرای یادگار
97,فروردین
98,مهرگرد
99,باغ کوهستان
100,درمنه
101,ریواس
102,گدین
103,واحه
104,نقره
105,سرای جهانگردی
106,سرای بهشت
107,بهارعمر
108,بادگیر
109,واران
110,تیشک
111,نمک زار سه قلعه
112,باباحسن
113,خانه باغ شاکر
114,خانه صفا
115,ستاره
116,کلوت
117,خانه تراب
118,شیرین وفرهاد
119,هفت و یازده
120,باباحاجی
121,حاجی خان
122,سرو کهن
123,سروکهن
124,خانه خشتی
125,تیزک
126,عطاری
127,سه نیک
128,عمه رباب
129,خواجه خضر
130,وستا
131,نار تی تی
132,مجتمع گردشگری ستاره شبهای کویر
133,کاهار
134,آرتین
