id,name
1,دانشگاه الازهر مصر
2,الازهر
3,دانشگاه الازهر
4,الازهر
5,دانشگاه علوم پزشکی اصفهان
6,دانشگاه میبد
7,دانشگاه علوم
8,دانشگاه تهران
9,دانشگاه امام خمینی
10,دانشگاه علم
11,آزاد تهران
12,شهید باهنر تهران
13,دانشگاه علوم پزشکی تهران
14,دانشگاه سوره
15,دانشگاه کمیتاس
16,دانشگاه کمیتاس ارمنستان
17,دانشگاه تربیت مدرس
18,دانشگاه علوم پزشکی اهواز
19,دانشگاه علوم پزشکی
20,دانشگاه الزهرا
21,دانشگاه ساسکس
22,دانشگاه علوم بهزیستی
23,دانشگاه هرمزگان
24,دانشگاه تهران مرکز
25,کارآفرینی دانشگاه آزاد اسلامی
26,دانشگاه آزاد تهران
27,دانشگاه علوم پزشکی اراک
28,نگاری دانشگاه تهران
29,بهداشتی دانشگاه علوم پزشکی مازندران
30,بهداشتی دانشگاه علوم پزشکی
31,استان ازاقدامات دانشگاه علوم پزشکی
32,بهداشتی دانشگاه علوم پزشکی مازندران
33,دانشگاه خاتم
34,دانشگاه کلمبیا
35,دانشکده امیرکبیر
36,دانشگاه مازندران
37,حوزه علمیه هرات افغانستان
38,دانشگاه علوم پزشکی اهواز
39,دانشگاه شهید بهشتی
40,دانشگاه اصفهان
41,دانشگاه یاماگوچی
42,دانشگاه سوانا
43,دانشگاه ملبورن
44,دانشگاه ریدینگ
45,دانشگاه آزاد
46,دانشگاه هرمزگان
47,فردوسی مشهد
48,شهید بهشتی تهران
49,شهید بهشتی
50,دانشگاه استنفورد انگلستان
51,دانشگاه صنعتی اصفهان
52,دانشگاه دولتی فیلیپین
53,دانشگاه MIT
54,دانشگاه ویسکانسین آمریکا
55,رسانه دانشگاه تهران
56,دانشگاه علامه طباطبائی
57,دانشگاه علامه
58,دانشگاه علامه طباطبائی علیرضا
59,دانشگاه علامه طباطبائی رحیم
60,دانشگاه لبنان
61,دانشگاه بوعلی
62,دانشگاه بوعلی همدان
63,صنعتی شاهرود
64,چمران اهواز
65,باهنر کرمان
66,دانشگاه آزاد اهر
67,دانشگاه علوم پزشکی شهرکرد
68,دانشگاه آزاد خبرگزاری
69,دانشگاه آزاد اسلامی واحد ایرانشهر
70,دانشگاه آزاد اسلامی واحد
71,دانشگاه آزاد خبرگزاری آنا
72,دانشگاه آزاد اسلامی واحد ایرانشهر
73,دانشگاه شهيد بهشتي تهران
74,شريف
75,دانشگاه شهيد بهشتي
76,دانشگاه دامغان
77,دانشگاه دامغان
78,دانشگاه آزاد اسلامی
79,دانشگاه سمنان
80,دانشگاه سمنان
81,دانشگاه‌های علوم پزشکی
82,دانشگاه یاسوج
83,دانشگاه یاسوج
84,دانشگاه تل‌آويو
85,دانشگاه لنکستر
86,دانشگاه صنعتی شریف
87,صنعتی شریف
88,اقتصاد دانشگاه تهران
89,دانشگاه لندن
90,دانشگاه شیراز
91,دانشگاه فردوسی مشهد
92,دانشگاه فردوسی
93,دانشگاه معارف
94,دانشگاه فردوسي مشهد
95,دانشگاه فردوسي
96,علامه حلی
97,علامه حلی اراک
98,افسری امام
99,دانشگاه افسری امام
100,افسری امام علی
101,دانشگاه افسری امام علی
102,دانشگاه فرهنگیان
103,دانشگاه علوم پزشکی شیراز
104,دانشگاه علوم‌پزشکی
105,دانشگاه علوم‌پزشکی آذربایجان
106,دانشگاه بوعلی سینا همدان
107,دانشگاه بوعلی سینا
108,دانشگاه هاروارد
109,کالج والش آمریکا
110,دانشگاه تورنتو
111,دانشگاه ویندزور
112,دانشگاه حقوق آزگود
113,کالج والش
114,حقوق دانشگاه ویندزور
115,دانشگاه علوم پزشکی گیلان
116,دانشگاه علوم‌پزشکی گیلان
117,دانشگاه علوم پزشکی شهید بهشتی
118,دانشگاه هنر توکیو
119,دانشگاه علوم پزشکی کرمانشاه
120,الزهراء
121,دانشگاه جان هاپکینز
122,دانشگاه جان هاپکینز آمریکا
123,دانشگاه " استنفورد
124,دانشگاه استنفورد
125,دانشگاه ایالتی پنسیلوانیا
126,حوزه علمیه خوزستان
127,دانشگاه امیرالمؤمنین
128,دانشگاه اسکس
129,دانشگاه آکسفورد
130,دانشکده پزشکی مریلند
131,دانشگاه توکیو
132,دانشگاه علوم پزشکی کرمانشاه
133,علمیه مشهد
134,دانشگاه ایالتی نیویورک
135,دانشگاه نورث وسترن
136,دانشگاه بوفالو
137,مدرسه پزشکی دانشگاه نیویورک
138,دانشگاه واترلو
139,دندانپزشکی دانشگاه علوم‌پزشکی
140,دندانپزشکی دانشگاه علوم‌پزشکی تهران
141,کمبریج
142,کمبریج
143,اخترفیزیک بولونیای ایتالیا
144,کالج سلطنتی لندن
145,دانشگاه پاریس ساکلای
146,دانشگاه مادرید
147,کالج آمریکایی طب
148,دانشگاه میشیگان
149,دانشگاه اکستر
150,دانشگاه علوم و
151,دانشگاه کُرنل
152,الکترونیک دانشگاه کُرنل
153,دانشگاه مهندسی
154,دانشگاه پرینستون
155,دانشگاه ماساچوست
156,دانشگاه کالیفرنیا
157,دانشگاه علوم پزشکی ایران
158,علوم پزشکی تهران
159,دانشگاه آزاد کیش
160,دانشگاه یو سی ال‌ای
161,دانشگاه یو سی ال‌ای امریکا
162,دانشگاه تهران هستند‌
163,آموزش تکمیلی دانشگاه آلاباما
164,دانشگاه ویرجینیا
165,دبیرستان سانتا
166,دبیرستان کلمباین
167,دانشگاه آلاباما
168,دانشگاه دمشق
169,دانشگاه های دولتی
170,دانشگاه های دولتی سوریه
171,مدرسه آمریکایی ملایر
172,دانشگاه ویسکانسین امریکا
173,دانشگاه فناوری ورشو
174,دانشگاه آزاد اسلامی خبرگزاری
175,دانشگاه بجنورد
176,هاروارد
177,دانشگاه آزاد اسلامی واحد تبریز
178,دانشگاه علوم پزشکی هرمزگان
179,دانشگاه خبرگزاری فارس
180,دانشگاه ساپینزا
181,دانشگاه محقق اردبیلی
182,دانشگاه تبریز
183,مدرسه علمیه امام
184,دانشگاه محقق
185,دانشگاه محقق اردبیلی
186,دانشگاه سلیمانیه
187,کالج لندن
188,استنفورد
189,دانشگاه استنفرود
190,دانشگاه توهوکو
191,دانشگاه آزاددهه
192,دانشگاه لرستان
193,دانشگاه صنعتی
194,دانشگاه علامه طباطبایی
195,دانشگاه علامه طباطبایی
196,دانشگاه ایالتی تنسی
197,دانشگاه شریف
198,کالج پزشکي آلبرت اينشتين
199,دانشگاه مينه
200,دانشگاه مينه سوتا
201,کالج پزشکی آلبرت اینشتین
