خر به خراسان بردن,زیره به کرمانبردن,,,
خرشانس,فرد خوششانس.,,,
سکه رایج بلاد اسلامی,صلوات، چیزیکه همه توان آنرا دارند,,,
غضمیت,به درد نخور.,,,
آ آک آک,,,,
آ پنیر,,,,
آب انار,,,,
آب بستن,,,,
آب تو کون,,,,
آب جق نبات,,,,
آب چاقال,,,,
آب دادن,,,,
آب زیرکاه,,,,
آب زیپو,,,,
آب شنگولی,,,,
آب قطعه,,,,
آب قطه,,,,
آبادان,,,,
آبجلق زاده,,,,
آبجی زهرا,,,,
آبدار,,,,
آبکی,,,,
آبمست,,,,
آبو بریز همونجات که میسوزه,,,,
آبودان خوراک,,,,
آپار,,,,
آپنیر,,,,
آتراکسیون,,,,
آتو دادن,,,,
آجور,,,,
آچل,,,,
آچمز,,,,
آخ,,,,
آخرش,,,,
آدرس مِشدی,,,,
آدم آهنی,,,,
آدم باش,,,,
آدم خوار,,,,
آدم شق و رق,,,,
آدم گُرمَز,,,,
آدم یُبس,,,,
آرا ویرا,,,,
آرمین,,,,
آره تو هم خوبى,,,,
آروغ,,,,
آروغ روشنفکری,,,,
آروغ فندقی,,,,
آروم,,,,
آزاده,,,,
آزادی,,,,
آزادی یواشکی,,,,
آِژ داشاخ,,,,
آژ داشاق,,,,
آژیر,,,,
آس,,,,
آستین,,,,
آسفالت کردن,,,,
آسمون,,,,
آسیو,,,,
آش پختن,,,,
آش فروش,,,,
آش کوردی,,,,
آش و پت,,,,
آشخور,,,,
آشغال,,,,
آشغال پسند,,,,
آشغال جوراب,,,,
آشو پت,,,,
آشیخ پلوشتک,,,,
آفتابه,,,,
آفتابه بازی,,,,
آفتابه دزد,,,,
آفتابه رو گرفت بهش,,,,
آفتافه آفتابه,,,,
آفریقا,,,,
آفرین,,,,
آفساید,,,,
آقا داوود,,,,
آقا دایی,,,,
آقا مجتبی,,,,
آقادایی,,,,
آقازاده,,,,
آقام,,,,
آقام آقام !,,,,
آقای خرچنگ,,,,
آقای باقری,,,,
آقای گودرزی با خانم شقایقی فامیلن؟,,,,
آقای مهندس! دکتر! پروفسور!!!,,,,
آقــولیاد واقــولیـد!!,,,,
آقوی همساده,,,,
آک بند,,,,
آکبند,,,,
آکله,,,,
آکله k,,,,
آکواریم,,,,
آلا بینم,,,,
آلاخ,,,,
آلاگارسون,,,,
آلای دولای,,,,
آلت پریش,,,,
,,,,
آلن,,,,
آلوخ,,,,
آلونک,,,,
آماتور,,,,
آمار دادن,,,,
آمار گرفتن,,,,
آمپاس,,,,
آمپول زن محل,,,,
آمجیخ,,,,
آمل,,,,
آمو جونی,,,,
آناناس,,,,
آنتن,,,,
آنتنه,,,,
آنتی پـَ نــ پـَ,,,,
آنتیک,,,,
آنگول,,,,
آواجی,,,,
آواکس,,,,
آورین,,,,
آویزان,,,,
آویزون,,,,
آویزون شدن,,,,
آیناز,,,,
آی کیو جلبک,,,,
آی کیو جوجه بوقلمون,,,,
آیس,,,,
آینه بغل,,,,
آیینه بغل ِ ولوو,,,,
ابای,,,,
ابر شدن,,,,
ابراهیم,,,,
ابراهیمع,,,,
ابرو پلنگ,,,,
ابروی پاچه بزی,,,,
ابله,,,,
ابنس,,,,
ابنه ای,,,,
ابو طیاره,,,,
ابول,,,,
ابول لل داش,,,,
ابولحسن نجفی,,,,
ابول,,,,
اُبی,,,,
اپل,,,,
اِتاخ,,,,
اتسه بینیم با,,,,
اتول,,,,
اجق وجق,,,,
اَجق وَجق,,,,
اَجق وَجق jg Vjg,,,,
اجمالتیم,,,,
اچمز,,,,
اچیلارسان,,,,
احسان,,,,
احمد مولا,,,,
احمد نارنج,,,,
احمق,,,,
احوال پرسی,,,,
اختروو,,,,
اخذ حال,,,,
ادا اطوار,,,,
اداى تنگ ها رو در آوردن,,,,
ادای تنگا رو درآوردن,,,,
ادای زرنگا رو در آوردن,,,,
ادبار,,,,
ادرار,,,,
اراجیف,,,,
ارادت معکوس,,,,
اراک,,,,
ارایه دادن,,,,
ارجینال,,,,
اردشیر,,,,
اردک الزمان,,,,
اردوان,,,,
ارمان,,,,
ارمیخ,,,,
ارنجمنتی بودن,,,,
ارنعوت,,,,
ارواح خاک باغچتون,,,,
ارواح عمت,,,,
اروپاییه,,,,
اریا,,,,
از اون لحاظ... اونها رو هم براتدرست می کنیم!,,,,
از اینجا باز کنید,,,,
از بغل برو,,,,
از ترس ریدن,,,,
از تو خیال که..؟,,,,
از تو لپ لپ,,,,
از جلو چشام خفه شو حوصله تو ندارم,,,,
از دماغ فیل افتاده,,,,
از زیر فیلتر رد شدن,,,,
از زیر کار در فتن,,,,
از سرم خرجنگ بلند شد,,,,
از شوخی گذشته,,,,
از طاق افتادن,,,,
از ک... آوردن,,,,
از کون اردک سر در نمیاره,,,,
از یاد کردم,,,,
اَزتَختَنَه,,,,
ازتسمشس!,,,,
ازگل,,,,
ازهول,,,,
اژدرپلنگ,,,,
اژدها,,,,
اِس دادن,,,,
اُس کردن,,,,
اسب حیوان نجیبی است,,,,
اسب موس کِلا,,,,
اسپم,,,,
اُسّو,,,,
اُسُّو بِرِسّون,,,,
اِشتب,,,,
اَلَکلی,,,,
اُمُّ,,,,
اِمام,,,,
اُمُّل,,,,
اَنِ تیلیت,,,,
اَنِ مهم,,,,
اَنَ!,,,,
اُوِردُز ملکوتی,,,,
اَیاق,,,,
آسانسور,مسخره کردنفرد قد بلند.,,,
باد بزن جیگر,غیبت، پشتسر دیگرانحرف زدن کهباعث خنکشدن دلبرخی، از جملهغیبت کننده میشود.,,,
بادمجون واکس کن,علاف، بیکاره،کسی کهکارهای بیهودهانجام می دهد,,,
بچه بودن,,,,
برو مستو بساب,برو به کارتبرس.,,,
بشکه,مسخره کردنفرد چاق.,,,
پار س خودرو,سگی که راهمی رود وپارس می کند,,,
تو هنوز دهنت بو شیر میده,اشاره به بچهبودن کسي.,,,
تو هنوز سنت رقمی نشده,اشاره به بچهبودن کسي.,,,
جان کوچولو,به آدم بسیارتنومند,,,
چاقال,مسخره کردنفرد چاق.,,,
چاکرتیم,نشان دادنعشق و علاقهبه کسي.,,,
چی میگی,مسخره کردنکسي که فکرمي کند به نکتهي مهمي دستيافته است.,,,
حسین صافکار,صدام حسینکه شهرها را باخاک یکسانمی کرد,,,
خرابتیم,نشان دادنعشق و علاقهبه کسي.,,,
خلافی داشتن,شکم بزرگداشتن خلافیمخصوصساختمانهاییاست کهبرخلاف قوانینشهرداریساخته شده ومقداری ازخیابان یا پیادهرو را تصاحبکرده باشد,,,
دستمالیسم,فرهنگچاپلوسی,,,
سازمان سنجش,کسی که زیادسوال می کند,,,
سازمان گوشت,آدم چاق و چله,,,
سرویس کردی ما رو,ما را خستهکردي.,,,
سفرة الفقرا,روزنامه,,,
سماجت نکن,اذیت نکن,,,
شادی آ,اشاره به کسيکه خوش حالاست و دائم درحال خنديدناست.,,,
شاس می زنی آ,چيزي نميفهمي,,,
شعر نگو,چرت نگو.,,,
غلامتیم,نشان دادنعشق و علاقهبه کسي.,,,
فلفل سبز,سرباز نیرویانتظامی بهخاطر رنگلباس,,,
کوتوله,مسخره کردنفرد کوته قد.,,,
گاگول,نفهم.,,,
می میرم برات,نشان دادنعشق و علاقهبه کسي.,,,
نوکرتیم,نشان دادنعشق و علاقهبه کسي.,,,
یٌخ بابا,نه بابا .,,,
-به خط تعارف رسیده,,,,
-پاچه خوار,,,,
،در جواب کسی که بهشمامی خندد،بمیری.,,,,
«ب,,,,
«ریتوییت بعدی»,,,,
«ریتوییت قبلی»,,,,
,,,,
,,,,
,,,,
,,,,
آب از آب تکان نخورد,,,,
,,,,
آب از آب تکان نخوردن,,,,
,,,,
آب از آب تکان نمیخوره,,,,
,,,,
آب از دستش نمیچکه,,,,
,,,,
آب از سرچشمه گل,,,,
,,,,
آب از سرچشمه گلآلود است,,,,
,,,,
آب از سرش گذشتهاست,,,,
,,,,
آب از لب و لوچه کسیراه افتادن,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آب پاکی را رویدستش ریخت,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آب در کوزه و ما تشنه,,,,
,,,,
آب در کوزه و ما تشنهلبان می گردیم,,,,
,,,,
آب دهان,,,,
,,,,
,مسخره کردنکسي که زياد آب دهانش راروي زمين مياندازد.,,,
آب را باید ازسرچشمهبست,,,,
,,,,
آب را گل نکنیم,,,,
,,,,
,,,,
,,,,
آب زیر پوستش افتاده,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آب که از سرگذشت چهیک وجب چهصدوجب,,,,
,,,,
آب که از سرگذشت چهیکذرع چه صدذرعـ چهیک نی چهصد نی,,,,
,,,,
آب که از سرگذشت چهیکوجب چهصدوجب,,,,
,,,,
آب که سر بالامیره,,,,
,,,,
آب که یه جابمونه میگنده,,,,
,,,,
آب نمی,,,,
آب نمیچکه,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آبکش رو نگاهکن که بهکفگیرمیگیره,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آبو بریز همونجات کهمیسوزه,,,,
,,,,
,,,,
,,,,
آبی از او گرم نمیشه,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آتش که گرفت خشک وتر میسوزند,,,,
,,,,
آتش که گرفت خشک وترمیشه,,,,
,,,,
,,,,
,,,,
آتیش به انبار خودش,,,,
,,,,
آتیش به انبارخودش,,,,
,,,,
آجر,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آخر شاه منشی کاه,,,,
,,,,
آخر شاه منشی کاهکشی است,,,,
,,,,
,,,,
,,,,
آخرشه تهشه اِندشه:,,,,
,,,,
آخرین پر کاه کمرشتر را می,,,,
,,,,
,,,,
,,,,
آدم آهست و دم,,,,
,,,,
,,,,
,,,,
آدم از کوچکی بزرگمیشه,,,,
,,,,
آدم با کسی که علیگفت عمرنمیشه,,,,
,,,,
,,,,
,,,,
آدم بد حساب دوبارمیدهد,,,,
,,,,
آدم بسیار بلند قد,,,,
,,,,
آدم بلند قد.,,,,
,,,,
آدم پول را پیدا میکند نه پول آدم را,,,,
,,,,
آدم تنبل عقل چهل وزیرداره,,,,
,,,,
